,date_pt,hour_pt,time_pt,var,value,site,vartype
241,2013-04-29,1,2013-04-29 01:00:00,GPM,0.0,stream,Flow (GPM)
242,2013-04-29,2,2013-04-29 02:00:00,GPM,0.0,stream,Flow (GPM)
243,2013-04-29,3,2013-04-29 03:00:00,GPM,0.0,stream,Flow (GPM)
244,2013-04-29,4,2013-04-29 04:00:00,GPM,0.0,stream,Flow (GPM)
245,2013-04-29,5,2013-04-29 05:00:00,GPM,0.0,stream,Flow (GPM)
246,2013-04-29,6,2013-04-29 06:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
247,2013-04-29,7,2013-04-29 07:00:00,GPM,0.5,stream,Flow (GPM)
248,2013-04-29,8,2013-04-29 08:00:00,GPM,0.3333333333333333,stream,Flow (GPM)
249,2013-04-29,9,2013-04-29 09:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
250,2013-04-29,10,2013-04-29 10:00:00,GPM,0.0,stream,Flow (GPM)
251,2013-04-29,11,2013-04-29 11:00:00,GPM,0.0,stream,Flow (GPM)
252,2013-04-29,12,2013-04-29 12:00:00,GPM,0.0,stream,Flow (GPM)
253,2013-04-29,13,2013-04-29 13:00:00,GPM,0.0,stream,Flow (GPM)
254,2013-04-29,14,2013-04-29 14:00:00,GPM,0.0,stream,Flow (GPM)
255,2013-04-29,15,2013-04-29 15:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
256,2013-04-29,16,2013-04-29 16:00:00,GPM,0.0,stream,Flow (GPM)
257,2013-04-29,17,2013-04-28 17:00:00,GPM,0.0,stream,Flow (GPM)
258,2013-04-29,18,2013-04-28 18:00:00,GPM,0.6666666666666666,stream,Flow (GPM)
259,2013-04-29,19,2013-04-28 19:00:00,GPM,0.0,stream,Flow (GPM)
260,2013-04-29,20,2013-04-28 20:00:00,GPM,0.3333333333333333,stream,Flow (GPM)
261,2013-04-29,21,2013-04-28 21:00:00,GPM,0.3333333333333333,stream,Flow (GPM)
262,2013-04-29,22,2013-04-28 22:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
263,2013-04-29,23,2013-04-28 23:00:00,GPM,0.0,stream,Flow (GPM)
264,2013-04-30,0,2013-04-30 00:00:00,GPM,0.0,stream,Flow (GPM)
265,2013-04-30,1,2013-04-30 01:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
266,2013-04-30,2,2013-04-30 02:00:00,GPM,0.0,stream,Flow (GPM)
267,2013-04-30,3,2013-04-30 03:00:00,GPM,0.0,stream,Flow (GPM)
268,2013-04-30,4,2013-04-30 04:00:00,GPM,0.3333333333333333,stream,Flow (GPM)
269,2013-04-30,5,2013-04-30 05:00:00,GPM,0.0,stream,Flow (GPM)
270,2013-04-30,6,2013-04-30 06:00:00,GPM,0.3333333333333333,stream,Flow (GPM)
271,2013-04-30,7,2013-04-30 07:00:00,GPM,0.8333333333333334,stream,Flow (GPM)
272,2013-04-30,8,2013-04-30 08:00:00,GPM,0.6666666666666666,stream,Flow (GPM)
273,2013-04-30,9,2013-04-30 09:00:00,GPM,0.0,stream,Flow (GPM)
274,2013-04-30,10,2013-04-30 10:00:00,GPM,0.0,stream,Flow (GPM)
275,2013-04-30,11,2013-04-30 11:00:00,GPM,0.0,stream,Flow (GPM)
276,2013-04-30,12,2013-04-30 12:00:00,GPM,0.0,stream,Flow (GPM)
277,2013-04-30,13,2013-04-30 13:00:00,GPM,0.0,stream,Flow (GPM)
278,2013-04-30,14,2013-04-30 14:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
279,2013-04-30,15,2013-04-30 15:00:00,GPM,0.0,stream,Flow (GPM)
280,2013-04-30,16,2013-04-30 16:00:00,GPM,0.0,stream,Flow (GPM)
281,2013-04-30,17,2013-04-29 17:00:00,GPM,0.0,stream,Flow (GPM)
282,2013-04-30,18,2013-04-29 18:00:00,GPM,0.0,stream,Flow (GPM)
283,2013-04-30,19,2013-04-29 19:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
284,2013-04-30,20,2013-04-29 20:00:00,GPM,0.6666666666666666,stream,Flow (GPM)
285,2013-04-30,21,2013-04-29 21:00:00,GPM,0.5,stream,Flow (GPM)
286,2013-04-30,22,2013-04-29 22:00:00,GPM,0.0,stream,Flow (GPM)
287,2013-04-30,23,2013-04-29 23:00:00,GPM,0.0,stream,Flow (GPM)
288,2013-05-01,0,2013-05-01 00:00:00,GPM,0.0,stream,Flow (GPM)
289,2013-05-01,1,2013-05-01 01:00:00,GPM,0.0,stream,Flow (GPM)
290,2013-05-01,2,2013-05-01 02:00:00,GPM,0.0,stream,Flow (GPM)
291,2013-05-01,3,2013-05-01 03:00:00,GPM,0.0,stream,Flow (GPM)
292,2013-05-01,4,2013-05-01 04:00:00,GPM,0.0,stream,Flow (GPM)
293,2013-05-01,5,2013-05-01 05:00:00,GPM,0.0,stream,Flow (GPM)
294,2013-05-01,6,2013-05-01 06:00:00,GPM,0.3333333333333333,stream,Flow (GPM)
295,2013-05-01,7,2013-05-01 07:00:00,GPM,0.5,stream,Flow (GPM)
296,2013-05-01,8,2013-05-01 08:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
297,2013-05-01,9,2013-05-01 09:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
