,time stamp,time_pt,var,vartype,site,value,Date,Hour,WeekDay,WeekPart,dates,timestep_sum
116,2019-03-24 20:00:00,2019-03-24 20:00:00,Flow_CW,Flow (GPM),ejames,55.351999999999975,2019-03-24,20,1,Weekend,2019-03-24,1
117,2019-03-24 21:00:00,2019-03-24 21:00:00,Flow_CW,Flow (GPM),ejames,58.344,2019-03-24,21,1,Weekend,2019-03-24,1
118,2019-03-24 22:00:00,2019-03-24 22:00:00,Flow_CW,Flow (GPM),ejames,19.44799999999998,2019-03-24,22,1,Weekend,2019-03-24,1
119,2019-03-24 23:00:00,2019-03-24 23:00:00,Flow_CW,Flow (GPM),ejames,13.463999999999999,2019-03-24,23,1,Weekend,2019-03-24,1
120,2019-03-25 00:00:00,2019-03-25 00:00:00,Flow_CW,Flow (GPM),ejames,13.463999999999999,2019-03-25,0,2,Weekday,2019-03-25,1
121,2019-03-25 01:00:00,2019-03-25 01:00:00,Flow_CW,Flow (GPM),ejames,5.983999999999998,2019-03-25,1,2,Weekday,2019-03-25,1
122,2019-03-25 02:00:00,2019-03-25 02:00:00,Flow_CW,Flow (GPM),ejames,39.64399999999998,2019-03-25,2,2,Weekday,2019-03-25,1
123,2019-03-25 03:00:00,2019-03-25 03:00:00,Flow_CW,Flow (GPM),ejames,29.172,2019-03-25,3,2,Weekday,2019-03-25,1
124,2019-03-25 04:00:00,2019-03-25 04:00:00,Flow_CW,Flow (GPM),ejames,11.96800000000002,2019-03-25,4,2,Weekday,2019-03-25,1
125,2019-03-25 05:00:00,2019-03-25 05:00:00,Flow_CW,Flow (GPM),ejames,7.48000000000002,2019-03-25,5,2,Weekday,2019-03-25,1
126,2019-03-25 06:00:00,2019-03-25 06:00:00,Flow_CW,Flow (GPM),ejames,16.45600000000002,2019-03-25,6,2,Weekday,2019-03-25,1
127,2019-03-25 07:00:00,2019-03-25 07:00:00,Flow_CW,Flow (GPM),ejames,28.423999999999975,2019-03-25,7,2,Weekday,2019-03-25,1
128,2019-03-25 08:00:00,2019-03-25 08:00:00,Flow_CW,Flow (GPM),ejames,62.0839999999998,2019-03-25,8,2,Weekday,2019-03-25,1
129,2019-03-25 09:00:00,2019-03-25 09:00:00,Flow_CW,Flow (GPM),ejames,115.19200000000019,2019-03-25,9,2,Weekday,2019-03-25,1
130,2019-03-25 10:00:00,2019-03-25 10:00:00,Flow_CW,Flow (GPM),ejames,96.492,2019-03-25,10,2,Weekday,2019-03-25,1
131,2019-03-25 11:00:00,2019-03-25 11:00:00,Flow_CW,Flow (GPM),ejames,67.32000000000001,2019-03-25,11,2,Weekday,2019-03-25,1
132,2019-03-25 12:00:00,2019-03-25 12:00:00,Flow_CW,Flow (GPM),ejames,72.5560000000002,2019-03-25,12,2,Weekday,2019-03-25,1
133,2019-03-25 13:00:00,2019-03-25 13:00:00,Flow_CW,Flow (GPM),ejames,38.148,2019-03-25,13,2,Weekday,2019-03-25,1
134,2019-03-25 14:00:00,2019-03-25 14:00:00,Flow_CW,Flow (GPM),ejames,44.88,2019-03-25,14,2,Weekday,2019-03-25,1
135,2019-03-25 15:00:00,2019-03-25 15:00:00,Flow_CW,Flow (GPM),ejames,84.5239999999998,2019-03-25,15,2,Weekday,2019-03-25,1
136,2019-03-25 16:00:00,2019-03-25 16:00:00,Flow_CW,Flow (GPM),ejames,44.131999999999984,2019-03-25,16,2,Weekday,2019-03-25,1
137,2019-03-25 17:00:00,2019-03-25 17:00:00,Flow_CW,Flow (GPM),ejames,76.296,2019-03-25,17,2,Weekday,2019-03-25,1
138,2019-03-25 18:00:00,2019-03-25 18:00:00,Flow_CW,Flow (GPM),ejames,79.2880000000002,2019-03-25,18,2,Weekday,2019-03-25,1
139,2019-03-25 19:00:00,2019-03-25 19:00:00,Flow_CW,Flow (GPM),ejames,88.2640000000002,2019-03-25,19,2,Weekday,2019-03-25,1
140,2019-03-25 20:00:00,2019-03-25 20:00:00,Flow_CW,Flow (GPM),ejames,31.415999999999997,2019-03-25,20,2,Weekday,2019-03-25,1
141,2019-03-25 21:00:00,2019-03-25 21:00:00,Flow_CW,Flow (GPM),ejames,29.172,2019-03-25,21,2,Weekday,2019-03-25,1
142,2019-03-25 22:00:00,2019-03-25 22:00:00,Flow_CW,Flow (GPM),ejames,9.72400000000002,2019-03-25,22,2,Weekday,2019-03-25,1
143,2019-03-25 23:00:00,2019-03-25 23:00:00,Flow_CW,Flow (GPM),ejames,10.47199999999998,2019-03-25,23,2,Weekday,2019-03-25,1
144,2019-03-26 00:00:00,2019-03-26 00:00:00,Flow_CW,Flow (GPM),ejames,35.15599999999998,2019-03-26,0,3,Weekday,2019-03-26,1
145,2019-03-26 01:00:00,2019-03-26 01:00:00,Flow_CW,Flow (GPM),ejames,4.488,2019-03-26,1,3,Weekday,2019-03-26,1
146,2019-03-26 02:00:00,2019-03-26 02:00:00,Flow_CW,Flow (GPM),ejames,6.731999999999999,2019-03-26,2,3,Weekday,2019-03-26,1
147,2019-03-26 03:00:00,2019-03-26 03:00:00,Flow_CW,Flow (GPM),ejames,3.739999999999998,2019-03-26,3,3,Weekday,2019-03-26,1
148,2019-03-26 04:00:00,2019-03-26 04:00:00,Flow_CW,Flow (GPM),ejames,5.983999999999998,2019-03-26,4,3,Weekday,2019-03-26,1
149,2019-03-26 05:00:00,2019-03-26 05:00:00,Flow_CW,Flow (GPM),ejames,13.463999999999999,2019-03-26,5,3,Weekday,2019-03-26,1
150,2019-03-26 06:00:00,2019-03-26 06:00:00,Flow_CW,Flow (GPM),ejames,47.124,2019-03-26,6,3,Weekday,2019-03-26,1
151,2019-03-26 07:00:00,2019-03-26 07:00:00,Flow_CW,Flow (GPM),ejames,35.15599999999998,2019-03-26,7,3,Weekday,2019-03-26,1
152,2019-03-26 08:00:00,2019-03-26 08:00:00,Flow_CW,Flow (GPM),ejames,54.60400000000002,2019-03-26,8,3,Weekday,2019-03-26,1
153,2019-03-26 09:00:00,2019-03-26 09:00:00,Flow_CW,Flow (GPM),ejames,62.0839999999998,2019-03-26,9,3,Weekday,2019-03-26,1
154,2019-03-26 10:00:00,2019-03-26 10:00:00,Flow_CW,Flow (GPM),ejames,122.67199999999981,2019-03-26,10,3,Weekday,2019-03-26,1
155,2019-03-26 11:00:00,2019-03-26 11:00:00,Flow_CW,Flow (GPM),ejames,196.72399999999982,2019-03-26,11,3,Weekday,2019-03-26,1
156,2019-03-26 12:00:00,2019-03-26 12:00:00,Flow_CW,Flow (GPM),ejames,65.8240000000002,2019-03-26,12,3,Weekday,2019-03-26,1
157,2019-03-26 13:00:00,2019-03-26 13:00:00,Flow_CW,Flow (GPM),ejames,66.57199999999979,2019-03-26,13,3,Weekday,2019-03-26,1
