,time stamp,date_pt,hour_pt,time_pt,var,value,site,vartype,dates,timestep_sum
107,2015-01-05 11:00:00,2015-01-05,11,2015-01-05 11:00:00,GPM,50.0,sunset,Flow (GPM),2015-01-05,1
108,2015-01-05 12:00:00,2015-01-05,12,2015-01-05 12:00:00,GPM,20.0,sunset,Flow (GPM),2015-01-05,1
109,2015-01-05 13:00:00,2015-01-05,13,2015-01-05 13:00:00,GPM,10.0,sunset,Flow (GPM),2015-01-05,1
110,2015-01-05 14:00:00,2015-01-05,14,2015-01-05 14:00:00,GPM,50.0,sunset,Flow (GPM),2015-01-05,1
111,2015-01-05 15:00:00,2015-01-05,15,2015-01-05 15:00:00,GPM,20.0,sunset,Flow (GPM),2015-01-05,1
112,2015-01-05 16:00:00,2015-01-06,16,2015-01-05 16:00:00,GPM,40.0,sunset,Flow (GPM),2015-01-05,1
113,2015-01-05 17:00:00,2015-01-06,17,2015-01-05 17:00:00,GPM,40.0,sunset,Flow (GPM),2015-01-05,1
114,2015-01-05 18:00:00,2015-01-06,18,2015-01-05 18:00:00,GPM,60.0,sunset,Flow (GPM),2015-01-05,1
115,2015-01-05 19:00:00,2015-01-06,19,2015-01-05 19:00:00,GPM,160.00000000000003,sunset,Flow (GPM),2015-01-05,1
116,2015-01-05 20:00:00,2015-01-06,20,2015-01-05 20:00:00,GPM,110.00000000000001,sunset,Flow (GPM),2015-01-05,1
117,2015-01-05 21:00:00,2015-01-06,21,2015-01-05 21:00:00,GPM,110.00000000000001,sunset,Flow (GPM),2015-01-05,1
118,2015-01-05 22:00:00,2015-01-06,22,2015-01-05 22:00:00,GPM,60.0,sunset,Flow (GPM),2015-01-05,1
119,2015-01-05 23:00:00,2015-01-06,23,2015-01-05 23:00:00,GPM,20.0,sunset,Flow (GPM),2015-01-05,1
120,2015-01-06 00:00:00,2015-01-06,0,2015-01-06 00:00:00,GPM,30.0,sunset,Flow (GPM),2015-01-06,1
121,2015-01-06 01:00:00,2015-01-06,1,2015-01-06 01:00:00,GPM,10.0,sunset,Flow (GPM),2015-01-06,1
